Configure run and logs directory,248746
Configure simulator,5071430
Setup TCP parameters,2883742
Create initial single forwarding state,23905557657
Setup routing arbiter on each node,55685227341
Create initial single forwarding state,3193264179
Set first GSL interface bandwidth,22566526
Determined pingmesh pairs,20095063
Remove previous pingmesh log files,3556326
Setup pingmesh servers,89648716
Setup pingmesh clients,7885263
Whatever is between previous timestamp and the simulation run,105408
Run simulation,19349089041
Write pingmesh log files,11234446
Destroy simulator,553026650
