mode,run_dir,n_gs,n_ordered_pairs,n_timesteps,avg_connected_pair_ratio,fully_connected_pair_fraction
LEO-only,/home/jonz/ns-allinone-3.35/ns-3.35/hypatia/paper/ns3_experiments/multilayer/runs/leo_only_1160_to_1185_tcp,100,9900,26,1.0000000000,1.0000000000
Multilayer,/home/jonz/ns-allinone-3.35/ns-3.35/hypatia/paper/ns3_experiments/multilayer/runs/multilayer_1196_to_1221_tcp,100,9900,26,1.0000000000,1.0000000000
