Configure run and logs directory,222781
Configure simulator,5637952
Setup TCP parameters,229163
Create initial single forwarding state,14694766220
Setup routing arbiter on each node,44598591037
Create initial single forwarding state,2562128609
Set first GSL interface bandwidth,120786682
Read flow schedule,8872568
Remove previous flow log files,715471
Setup TCP flow sinks,76639306
Setup traffic TCP flow starter,122748
Whatever is between previous timestamp and the simulation run,5314392
Run simulation,53189327791
Write TCP flow log files,419183
Destroy simulator,401652422
