Configure run and logs directory,4490842
Configure simulator,5396462
Setup TCP parameters,437532
Create initial single forwarding state,17448354304
Setup routing arbiter on each node,36886206917
Create initial single forwarding state,2433103366
Set first GSL interface bandwidth,22342214
Determined pingmesh pairs,2239345
Remove previous pingmesh log files,375685
Setup pingmesh servers,27916661
Setup pingmesh clients,1242142
Whatever is between previous timestamp and the simulation run,46357
Run simulation,12098615875
Write pingmesh log files,12058594
Destroy simulator,234942767
