Configure run and logs directory,206302
Configure simulator,5094544
Setup TCP parameters,263561
Create initial single forwarding state,13967666220
Setup routing arbiter on each node,29437030945
Create initial single forwarding state,1797200314
Set first GSL interface bandwidth,18877227
Read flow schedule,3758694
Remove previous flow log files,73209
Setup TCP flow sinks,18396763
Setup traffic TCP flow starter,2541622
Whatever is between previous timestamp and the simulation run,189359
Run simulation,96379783721
Write TCP flow log files,3789263
Destroy simulator,697833952
