Configure run and logs directory,231619
Configure simulator,2963367
Setup TCP parameters,2671937
Create initial single forwarding state,17208635379
Setup routing arbiter on each node,47497153626
Create initial single forwarding state,2415535238
Set first GSL interface bandwidth,46795405
Determined pingmesh pairs,8922596
Remove previous pingmesh log files,262631
Setup pingmesh servers,77044969
Setup pingmesh clients,6546891
Whatever is between previous timestamp and the simulation run,53670
Run simulation,191091584176
Write pingmesh log files,114618936
Destroy simulator,690495066
