Configure run and logs directory,1672778
Configure simulator,5943415
Setup TCP parameters,305405
Create initial single forwarding state,16667757682
Setup routing arbiter on each node,46519779666
Create initial single forwarding state,2844709533
Set first GSL interface bandwidth,19152359
Determined pingmesh pairs,895211
Remove previous pingmesh log files,2898100
Setup pingmesh servers,20504062
Setup pingmesh clients,556679
Whatever is between previous timestamp and the simulation run,16480
Run simulation,181885355484
Write pingmesh log files,103960107
Destroy simulator,572364949
