Configure run and logs directory,1424174
Configure simulator,834303
Setup TCP parameters,179307
Create initial single forwarding state,10089758885
Setup routing arbiter on each node,27649056086
Create initial single forwarding state,2162459137
Set first GSL interface bandwidth,26380705
Read flow schedule,14650822
Remove previous flow log files,64335
Setup TCP flow sinks,48630247
Setup traffic TCP flow starter,3069326
Whatever is between previous timestamp and the simulation run,339027
Run simulation,312037503955
Write TCP flow log files,11322476
Destroy simulator,500400368
