pair,leo_rtt_variation_ms,ml_rtt_variation_ms,leo_rtt_variation_ratio,ml_rtt_variation_ratio,leo_rtt_stretch,ml_rtt_stretch
Mumbai to Lima,128.63271500000002,43.42136900000003,1.9058641901408453,1.0729770907563025,1.276374961901492,1.0384174973037068
Lima to Karachi,127.13624099999998,41.474335999999994,1.934825301470588,1.0694712495812395,1.267034602395611,1.035209995951126
Tokyo to Buenos-Aires,130.626778,40.920191000000045,1.9071304027777778,1.0631484429012346,1.2835894722141183,1.0304492094668414
