Configure run and logs directory,3043974
Configure simulator,718962
Setup TCP parameters,264693
Create initial single forwarding state,15417544001
Setup routing arbiter on each node,44537303762
Create initial single forwarding state,2606987197
Set first GSL interface bandwidth,78821355
Read flow schedule,15059227
Remove previous flow log files,3172431
Setup TCP flow sinks,59927593
Setup traffic TCP flow starter,249317
Whatever is between previous timestamp and the simulation run,2384506
Run simulation,4667427804
Write TCP flow log files,3601640
Destroy simulator,381610374
