1213,1266,0,54013899
1213,1266,1000000,54013900
1213,1266,2000000,54013899
1213,1266,3000000,54013899
1213,1266,4000000,54013899
1213,1266,5000000,54013900
1213,1266,6000000,54013901
1213,1266,7000000,54013899
1213,1266,8000000,54013899
1213,1266,9000000,54013899
1213,1266,10000000,54013901
1213,1266,11000000,54013901
1213,1266,12000000,54013899
1213,1266,13000000,54013899
1213,1266,14000000,54013901
1213,1266,15000000,54013901
1213,1266,16000000,54013901
1213,1266,17000000,54013899
1213,1266,18000000,54013901
1213,1266,19000000,54013901
1213,1266,20000000,54013901
1213,1266,21000000,54013901
1213,1266,22000000,54013902
1213,1266,23000000,54013901
1213,1266,24000000,54013901
1213,1266,25000000,54013901
1213,1266,26000000,54013902
1213,1266,27000000,54013902
1213,1266,28000000,54013901
1213,1266,29000000,54013901
1213,1266,30000000,54013901
1213,1266,31000000,54013903
1213,1266,32000000,54013902
1213,1266,33000000,54013901
1213,1266,34000000,54013901
1213,1266,35000000,54013903
1213,1266,36000000,54013903
1213,1266,37000000,54013902
1213,1266,38000000,54013901
1213,1266,39000000,54013903
1213,1266,40000000,54013903
1213,1266,41000000,54013903
1213,1266,42000000,54013902
1213,1266,43000000,54013903
1213,1266,44000000,54013903
1213,1266,45000000,54013903
1213,1266,46000000,54013903
1213,1266,47000000,54013903
1213,1266,48000000,54013903
1213,1266,49000000,54013903
1213,1266,50000000,54013903
1213,1266,51000000,54013903
1213,1266,52000000,54013905
1213,1266,53000000,54013903
1213,1266,54000000,54013903
1213,1266,55000000,54013903
1213,1266,56000000,54013905
1213,1266,57000000,54013905
1213,1266,58000000,54013903
1213,1266,59000000,54013903
1213,1266,60000000,54013905
1213,1266,61000000,54013905
1213,1266,62000000,54013905
1213,1266,63000000,54013903
1213,1266,64000000,54013905
1213,1266,65000000,54013905
1213,1266,66000000,54013905
1213,1266,67000000,54013905
1213,1266,68000000,54013906
1213,1266,69000000,54013905
1213,1266,70000000,54013905
1213,1266,71000000,54013905
1213,1266,72000000,54013907
1213,1266,73000000,54013906
1213,1266,74000000,54013905
1213,1266,75000000,54013905
1213,1266,76000000,54013906
1213,1266,77000000,54013907
1213,1266,78000000,54013906
1213,1266,79000000,54013905
1213,1266,80000000,54013905
1213,1266,81000000,54013907
1213,1266,82000000,54013907
1213,1266,83000000,54013906
1213,1266,84000000,54013905
1213,1266,85000000,54013907
1213,1266,86000000,54013907
1213,1266,87000000,54013907
1213,1266,88000000,54013906
1213,1266,89000000,54013907
1213,1266,90000000,54013907
1213,1266,91000000,54013907
1213,1266,92000000,54013907
1213,1266,93000000,54013908
1213,1266,94000000,54013907
1213,1266,95000000,54013907
1213,1266,96000000,54013907
1213,1266,97000000,54013909
1213,1266,98000000,54013909
1213,1266,99000000,54013907
1213,1266,100000000,54013907
1213,1266,101000000,54013909
1213,1266,102000000,54013909
1213,1266,103000000,54013909
1213,1266,104000000,54013907
1213,1266,105000000,54013908
1213,1266,106000000,54013909
1213,1266,107000000,54013909
1213,1266,108000000,54013909
1213,1266,109000000,54013907
1213,1266,110000000,54013909
1213,1266,111000000,54013909
1213,1266,112000000,54013909
1213,1266,113000000,54013909
1213,1266,114000000,54013910
1213,1266,115000000,54013909
1213,1266,116000000,54013909
1213,1266,117000000,54013909
1213,1266,118000000,54013911
1213,1266,119000000,54013910
1213,1266,120000000,54013909
1213,1266,121000000,54013909
1213,1266,122000000,54013911
1213,1266,123000000,54013911
1213,1266,124000000,54013910
1213,1266,125000000,54013909
1213,1266,126000000,54013911
1213,1266,127000000,54013911
1213,1266,128000000,54013911
1213,1266,129000000,54013910
1213,1266,130000000,54013911
1213,1266,131000000,54013911
1213,1266,132000000,54013911
1213,1266,133000000,54013911
1213,1266,134000000,54013912
1213,1266,135000000,54013911
1213,1266,136000000,54013911
1213,1266,137000000,54013911
1213,1266,138000000,54013913
1213,1266,139000000,54013912
1213,1266,140000000,54013911
1213,1266,141000000,54013911
1213,1266,142000000,54013912
1213,1266,143000000,54013913
1213,1266,144000000,54013913
1213,1266,145000000,54013911
