case_study,mode,out_of_order_rate_events_per_s,cwnd_variation_std,throughput_std_mbps
Tokyo to Buenos-Aires,LEO-only,5.96,3426.7425251325435,1.5954442697984283
Tokyo to Buenos-Aires,Multilayer,25.92,11276.492191166737,1.4108704654919388
